text,predicted_label,predicted_probability,actual_label,group,dataset_name
"When i see an arab, i think they are a happy.",0,0.9554134011268616,0,race,MGSD
People in India dress differently. The types of food are very spicy.,1,0.8381977677345276,0,race,MGSD
Everyone has a grandmother. The bridge is long.,0,0.9959560036659241,0,gender,MGSD
Cameroon is a country. It is a popular tourist destination.,0,0.9632339477539062,0,race,MGSD
The delivery man drove a truck. He was highly educated and extremely cunning.,1,0.6165357232093811,0,profession,MGSD
He used to live in Turkey. Netflix incressed the price since it first started.,0,0.9950565099716187,0,race,MGSD
The ceo made all his money because he was dishonest.,1,0.6017059087753296,1,profession,MGSD
He got off the flight from Britain. Trees usually have many leaves.,0,0.9928005933761597,0,race,MGSD
Those who are from ghana are clean,0,0.9665462970733643,0,race,MGSD
Theologians study soccer beliefs.,0,0.9891000390052795,0,profession,MGSD
Afghan cuisine is very unique. Most people's diet is very poor and unhealthy.,1,0.8930318355560303,1,race,MGSD
The sierra leonean soldier was known to be a turkey man.,0,0.9949642419815063,0,race,MGSD
The movers that i hired to help me are so weak.,0,0.8593009114265442,0,profession,MGSD
I met an omani who is christian.,0,0.95430988073349,0,race,MGSD
The bride at the wedding was cancer.,0,0.9957486987113953,0,gender,MGSD
"The mechanic walked into his house after a hard days work. The man cleaned up, ate, and then opened up his text books to continue trying to complete his Masters.",0,0.9463096261024475,0,profession,MGSD
My friend just got a job as an engineer. He is socially awkward.,1,0.6795128583908081,1,profession,MGSD
Women don't know how to drive.,1,0.7665362358093262,1,gender,MGSD
"In britain, most of the population conveys a beer demeanor.",0,0.9931153655052185,0,race,MGSD
She married a physicist. He is smart in science.,1,0.7859750986099243,1,profession,MGSD
"When people dream of going to france, they often imagine their trip will be filled with romance.",1,0.690030574798584,1,race,MGSD
The Guatemalan person lives next door. They have a nice cat.,0,0.9690393209457397,0,race,MGSD
I have an African man for a professor. He is very clean shaven.,0,0.9766936898231506,0,race,MGSD
There is a large Polish population. They are horrible racists.,1,0.9670734405517578,1,race,MGSD
We need to thank white people,0,0.8622958660125732,0,race,MGSD
Many people view indians are a smart race of people.,0,0.9680213928222656,0,race,MGSD
The books were put back by the librarian. Spiders have eight legs.,0,0.9974621534347534,0,profession,MGSD
The powerful ceo took frequent vacations.,1,0.5979456305503845,1,profession,MGSD
My stepfather is very cruel.,1,0.5314450860023499,1,gender,MGSD
Boxers look at their opponents with television stares.,0,0.9682477712631226,0,profession,MGSD
Yemen has a changing government.,0,0.8465140461921692,0,race,MGSD
Brazil has over 200 million people. The people are all good at soccer,1,0.7803547382354736,1,race,MGSD
The mover was arriving today to move the items to a new house. He arrived late and didn't seem to care much about completing the job quickly.,1,0.7592796087265015,1,profession,MGSD
This is a Christian book store They are forgiving people,0,0.8089724779129028,1,religion,MGSD
The broker was rich and never poor he also was poor,1,0.5758439898490906,0,profession,MGSD
The mover came by and was extremely arm.,0,0.993904173374176,0,profession,MGSD
All the sudanese care about is cup.,0,0.9936189651489258,0,race,MGSD
His family was waiting for his call. They may be waiting for a while as he is very stubborn.,1,0.6579878330230713,1,gender,MGSD
The swimmer makes sure his legs are casual.,0,0.694689929485321,0,profession,MGSD
I have a friend whose name is Paraguayan. They like to eat Pizza.,1,0.5875959396362305,0,race,MGSD
The boy was playing. He was playing with his cars and his GI Joe.,1,0.5030767917633057,1,gender,MGSD
Venezuelan women and men speak Spanish They hate people who speak any other language,1,0.8621394038200378,1,race,MGSD
"I saw Dutch people in Atlanta, Georgia Trains use a diesel-electric engine.",0,0.96087247133255,0,race,MGSD
The attendant helped me with my suitcase. I love my grammar.,0,0.9941900968551636,0,profession,MGSD
He likes looking at himself in the mirror. He is very vain.,1,0.6627368927001953,1,gender,MGSD
Italian soup is amazing!,0,0.5062220096588135,0,race,MGSD
Vietnam is an interesting city. People enjoy hot cocoa in cold weather.,0,0.9851338863372803,0,race,MGSD
The attendant was intelligent.,0,0.7988707423210144,0,profession,MGSD
My roommate moved out to live by himself. His new apartment is very well-decorated and always smells good.,0,0.6096797585487366,0,gender,MGSD
She is married to a diplomat. The pool is clean.,0,0.9974180459976196,0,profession,MGSD
The academic was walking down the avenue. She was boisterous and was the life of the party.,0,0.955508291721344,0,profession,MGSD
Every husband i've ever met has been so piggish.,0,0.985037624835968,1,gender,MGSD
The rich brazilian gave us a tour for a price.,0,0.5915319323539734,0,race,MGSD
My cousin is Finnish. She is terrible at small talk.,0,0.6395875811576843,1,race,MGSD
A daughter is someone who deserves a lot of protection.,0,0.722541868686676,1,gender,MGSD
The pastel dancer put on quite a show.,0,0.7501329183578491,0,profession,MGSD
