group,precision,recall,f1,balanced_accuracy,support
religion,0.8377425044091712,0.835058275058275,0.831677598575662,0.835058275058275,73
race-color,0.8051722830825215,0.8033660052560396,0.8002472836717455,0.8033660052560396,296
gender,0.7876845376845377,0.7746105118986475,0.7687458526874585,0.7746105118986475,184
nationality,0.8490323029796715,0.8337246771413583,0.8388038832483277,0.8337246771413583,130
socioeconomic,0.8723905723905725,0.8723905723905725,0.8723905723905725,0.8723905723905725,122
disability,0.8527777777777779,0.8825396825396826,0.8452991452991453,0.8825396825396826,46
age,0.8617614269788182,0.847265221878225,0.8476190476190476,0.847265221878225,51
sexual-orientation,0.88,0.875,0.8771121351766512,0.875,55
physical-appearance,0.8960863697705803,0.8897028897028898,0.8922768922768922,0.8897028897028898,45
autre,0.5555555555555555,0.6666666666666666,0.6,0.6666666666666666,4
