group,precision,recall,f1,balanced_accuracy,support
gender,0.7940176070428171,0.7667937545388526,0.7691657668654054,0.7667937545388526,149
race-color,0.8269230769230769,0.8212209302325582,0.822439024390244,0.8212209302325582,182
socioeconomic,0.8474903474903475,0.8472222222222223,0.847192745514181,0.8472222222222223,72
nationality,0.7556360708534622,0.7565656565656566,0.74997499749975,0.7565656565656566,100
age,0.78,0.7651515151515151,0.7678916827852997,0.7651515151515151,40
autre,0.9166666666666667,0.75,0.7878787878787878,0.75,7
sexual-orientation,0.8333333333333333,0.7722222222222221,0.7888386123680242,0.7722222222222221,28
disability,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,22
religion,0.834096109839817,0.8318181818181818,0.8324786324786324,0.8318181818181818,42
physical-appearance,0.7952380952380952,0.7980769230769231,0.7928571428571429,0.7980769230769231,29
