group,precision,recall,f1,balanced_accuracy,support
race-color,0.8076576576576577,0.7966813390478398,0.8014908442715929,0.7966813390478398,275
socioeconomic,0.8727941176470588,0.8333333333333333,0.8483539272444482,0.8333333333333333,117
nationality,0.9045454545454545,0.8903508771929824,0.8966098334655036,0.8903508771929824,149
religion,0.8952991452991452,0.8288888888888889,0.8489570846319827,0.8288888888888889,70
gender,0.7264150943396226,0.6631009312861817,0.6776164462334675,0.6631009312861817,195
age,0.7458333333333333,0.7388663967611335,0.7420458433116661,0.7388663967611335,58
disability,0.91,0.8882575757575758,0.8979591836734694,0.8882575757575758,35
sexual-orientation,0.879222972972973,0.893859649122807,0.886021505376344,0.893859649122807,53
autre,0.9,0.875,0.873015873015873,0.875,8
physical-appearance,0.8102678571428572,0.824009324009324,0.8165242165242166,0.824009324009324,46
