group,precision,recall,f1,balanced_accuracy,support
race-color,0.815546218487395,0.8262191590408896,0.8200466598383976,0.8262191590408896,275
socioeconomic,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.9038461538461539,117
nationality,0.8863005551149881,0.8798245614035087,0.8828616352201257,0.8798245614035087,149
religion,0.8623188405797102,0.8555555555555556,0.858712715855573,0.8555555555555556,70
gender,0.7093815513626834,0.650830606594513,0.6635997699827487,0.650830606594513,195
age,0.8043184885290149,0.8043184885290149,0.8043184885290149,0.8043184885290149,58
disability,0.91,0.8882575757575758,0.8979591836734694,0.8882575757575758,35
sexual-orientation,0.879222972972973,0.893859649122807,0.886021505376344,0.893859649122807,53
autre,0.9,0.875,0.873015873015873,0.875,8
physical-appearance,0.8391608391608392,0.8391608391608392,0.8391608391608392,0.8391608391608392,46
