group,precision,recall,f1,balanced_accuracy,support
race-color,0.74212775528565,0.7493918684119077,0.7451852485423884,0.7493918684119077,275
socioeconomic,0.7954545454545454,0.7692307692307693,0.779320987654321,0.7692307692307693,117
nationality,0.7819954128440367,0.7396686159844055,0.7513558614935336,0.7396686159844055,149
religion,0.7355072463768115,0.731111111111111,0.7331240188383046,0.731111111111111,70
gender,0.6610008754012255,0.638874905612887,0.6459790209790209,0.638874905612887,195
age,0.7055555555555556,0.6997300944669366,0.7023605884365378,0.6997300944669366,58
disability,0.8400000000000001,0.821969696969697,0.8299319727891157,0.821969696969697,35
sexual-orientation,0.7946969696969697,0.8412280701754387,0.8080482897384306,0.8412280701754387,53
autre,0.9,0.875,0.873015873015873,0.875,8
physical-appearance,0.7625,0.7937062937062938,0.7733990147783252,0.7937062937062938,46
