group,precision,recall,f1,balanced_accuracy,support
race-color,0.5668259723137772,0.5704563882775397,0.5670265407107513,0.5704563882775397,275
socioeconomic,0.6317567567567568,0.6282051282051282,0.629746835443038,0.6282051282051282,117
nationality,0.5009671179883946,0.5009746588693957,0.5009465559924275,0.5009746588693957,149
religion,0.46898263027295284,0.4666666666666667,0.4642857142857143,0.4666666666666667,70
gender,0.4933325024925224,0.4932670526050843,0.4932844932844933,0.4932670526050843,195
age,0.4714285714285714,0.4676113360323887,0.45233018580566553,0.4676113360323887,58
disability,0.6413043478260869,0.6477272727272727,0.6438482886216466,0.6477272727272727,35
sexual-orientation,0.49603174603174605,0.4956140350877193,0.49398090493980906,0.4956140350877193,53
autre,0.6333333333333333,0.625,0.6190476190476191,0.625,8
physical-appearance,0.5028571428571429,0.5034965034965035,0.486815415821501,0.5034965034965035,46
