group,precision,recall,f1,balanced_accuracy,support
race-color,0.8278571428571428,0.8323004749218117,0.8299564285817,0.8323004749218117,275
socioeconomic,0.9012345679012346,0.8846153846153846,0.8920754716981132,0.8846153846153846,117
nationality,0.8900386847195357,0.8930799220272905,0.891510120867919,0.8930799220272905,149
religion,0.8623188405797102,0.8555555555555556,0.858712715855573,0.8555555555555556,70
gender,0.747351114358787,0.6704002013591744,0.6870440618616867,0.6704002013591744,195
age,0.8263888888888888,0.8171390013495277,0.8214163530619227,0.8171390013495277,58
disability,0.91,0.8882575757575758,0.8979591836734694,0.8882575757575758,35
sexual-orientation,0.8545751633986928,0.880701754385965,0.8657094594594594,0.880701754385965,53
autre,0.9,0.875,0.873015873015873,0.875,8
physical-appearance,0.8391608391608392,0.8391608391608392,0.8391608391608392,0.8391608391608392,46
