group,precision,recall,f1,balanced_accuracy,support
race-color,0.3236363636363636,0.5,0.39293598233995586,0.5,275
socioeconomic,0.3333333333333333,0.5,0.4,0.5,117
nationality,0.3187919463087248,0.5,0.38934426229508196,0.5,149
religion,0.32142857142857145,0.5,0.391304347826087,0.5,70
gender,0.35128205128205126,0.5,0.4126506024096386,0.5,195
age,0.33620689655172414,0.5,0.4020618556701031,0.5,58
disability,0.34285714285714286,0.5,0.4067796610169492,0.5,35
sexual-orientation,0.3584905660377358,0.5,0.4175824175824176,0.5,53
autre,0.25,0.5,0.3333333333333333,0.5,8
physical-appearance,0.358695652173913,0.5,0.4177215189873418,0.5,46
