group,precision,recall,f1,balanced_accuracy,support
race-color,0.8005050505050505,0.8032549519286458,0.801827510665283,0.8032549519286458,275
socioeconomic,0.8811728395061729,0.8653846153846154,0.8724528301886793,0.8653846153846154,117
nationality,0.9158406026962729,0.9088693957115009,0.9121462264150944,0.9088693957115009,149
religion,0.8583916083916083,0.8644444444444443,0.8612029081295439,0.8644444444444443,70
gender,0.7334074580910024,0.6717216209413541,0.686886708296164,0.6717216209413541,195
age,0.8605263157894737,0.869770580296896,0.8648018648018647,0.869770580296896,58
disability,0.9337121212121212,0.9337121212121212,0.9337121212121212,0.9337121212121212,35
sexual-orientation,0.8545751633986928,0.880701754385965,0.8657094594594594,0.880701754385965,53
autre,0.9,0.875,0.873015873015873,0.875,8
physical-appearance,0.8616071428571428,0.8776223776223776,0.8689458689458689,0.8776223776223776,46
